Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2007,73745,22.66666667,1086,,5,2.1
2016,18949,23.73333333,1198,86.7,5,5
2014,107000,15.29411765,2982,168.5,7,16.5
2018,48367,20.8,1968,174.33,5,39.58
2013,57000,26.70588235,1498,89.84,5,5.5
2014,58000,17.76470588,2179,140,7,8.1
2015,30000,30.35294118,1498,98.6,5,3.5
2013,34212,25.96470588,1199,73.9,5,2.79
2010,70002,19.05882353,1493,110,5,3.45
2016,62000,25.2,998,67.1,5,4.45
2010,62001,20.34666667,1598,103.5,5,2.65
2011,78958,27.05882353,1396,90,5,3.8
2014,30180,24.66666667,1197,82.85,5,4.65
2017,32851,26.44,1198,67,7,3.95
2010,30000,17.57647059,2967,241.4,5,9.8
2009,66000,22.66666667,1197,80,5,2.7
2010,93850,18.66666667,796,35,5,2.41
2014,53000,23.61333333,1197,78.9,5,3.9
2011,78000,17.34117647,2993,270.9,5,24
2012,65000,18.82352941,2179,140,7,5.75
2014,40000,26.25882353,1582,126.32,5,5.25
2017,30000,13.36470588,2755,171.5,7,19.25
2017,38053,20.13333333,1196,73,5,3.91
2014,25500,33.86666667,624,37.5,4,2.15
2015,56087,26.69411765,1995,190,5,20.75
2010,71088,18,1799,130,5,3.35
2014,55000,15.28235294,2494,100.6,7,11.11
2014,32700,27.41176471,1984,150,5,20
2016,39882,25.53333333,1198,75.94,5,6.55
2009,128000,14.4,2497,215,5,7
2016,55000,28.58823529,1248,88.5,5,7.5
2005,102000,22.66666667,1086,,5,0.85
2014,53753,17.64705882,2143,107.3,5,16.75
2018,10250,25.88235294,1582,126.2,5,10.95
2011,43874,25.2,998,67.1,5,2.45
2017,32684,29.2,624,37.48,4,3.23
2014,42000,14.17647059,2179,120,8,7.75
2009,28352,15.6,1796,178,5,9.35
2013,89900,26.6,998,58.16,5,3.25
2007,47700,14.4,2354,152,5,5.25
2015,55000,24.95294118,1498,103.2,5,7.25
2017,44285,27.64,1373,91.1,5,7.47
2016,54000,18.82352941,2179,140,7,13.25
2016,30232,28.13333333,1197,85.8,5,5.81
2014,88500,32.09333333,998,67.1,5,2.6
2017,13372,25.33333333,2996,362.07,2,54
2019,12645,22.66666667,1591,121.3,5,11.5
2010,94385,26.26666667,796,46.3,5,1.6
2015,31821,24.21176471,1995,143,5,17.22
2015,12000,25.33333333,1199,88.7,5,6
2012,88578,18,1799,130,5,3.95
2014,44965,22.67058824,2143,170,5,17.95
2014,45044,30.35294118,1498,98.6,5,3.7
2016,34204,29.33333333,1197,81.8,5,5.43
2008,80759,22.66666667,1086,,5,1.67
2012,91235,13.52941176,2982,171,7,13.49
2014,38800,24.8,1199,76.8,5,2.85
2013,83000,24.87058824,1498,103.52,5,4.75
2018,41283,27.64,1373,91.1,5,9.9
2013,23000,14.73333333,2894,444,4,37
2014,48000,25.6,1995,190,5,26.5
2015,48214,20.12941176,1968,174.33,5,23.32
2016,35000,26.94117647,1248,74,5,6.25
2010,35277,10.41333333,5461,362.9,5,30
2016,54620,25.48235294,1498,103.52,5,9.86
2012,136997,20.23529412,1968,138.1,5,8.5
2019,14322,28.13333333,814,55.2,5,4.23
2012,65634,25.96470588,1199,73.9,5,3.5
2016,6000,27.50666667,1198,67.06,5,2.5
2013,33280,25.86666667,1198,86.8,5,2.39
2013,29000,19.73333333,1595,120.7,5,11.25
2015,42831,30.58823529,1498,98.6,5,7.11
2016,90000,15.28235294,2494,100.6,7,10.9
2017,24005,27.2,1197,81.8,5,6.2
2012,32792,17.76470588,2179,140,7,7.9
2014,147898,26.70588235,1498,89.84,5,4.42
2012,131765,15.29411765,2982,168.5,7,13.5
2013,65000,25.29411765,1498,108.5,5,6.25
2010,66123,23.52941176,1399,68,5,2.1
2015,41000,18,2993,258,5,45
2017,23550,22.67058824,2143,167.62,5,33.66
2012,45000,25.86666667,1198,86.8,5,3.65
2013,60000,27.14666667,1197,78.9,5,2.75
2016,44414,21.05882353,2143,170,5,42.5
2019,1000,25.2,1197,81.86,5,6.5
2012,62500,20.8,1968,174.33,5,19
2013,21000,19.2,1598,103.6,5,4.45
2017,8525,19.52941176,1998,112,5,23
2014,29000,26.51764706,1396,88.73,5,8.35
2014,40000,20.8,1968,174.33,5,22.95
2012,88000,29.92941176,936,57.6,5,1.5
2012,53537,18.26666667,1798,157.75,5,6.89
2006,216000,20.94117647,1399,68,5,1.45
2014,51000,26.44705882,1995,190,5,33.5
2007,118500,17.2,1598,102.5,5,1.25
2012,63000,25.96470588,1199,73.9,5,4.2
2015,25000,23.50588235,1461,108.5,8,6.75
2014,37382,15.29411765,2143,201.1,5,32
2017,24773,28.53333333,1197,83.1,5,7.5
2012,62000,26.25882353,1582,126.32,5,4.6
2017,52340,26.41333333,1086,68.05,5,4.04
2016,56739,18.11764706,1997,120,7,10.31
2018,36091,14.94117647,2179,187.7,5,55.76
2010,120000,23.52941176,1399,68,5,2.6
2016,33000,29.96470588,1248,88.5,7,8.5
2007,60006,,,,,2.95
2014,52000,30.35294118,1498,98.6,5,3.5
2015,43571,27.14666667,1197,78.9,5,3.55
2013,50000,30.35294118,1498,98.6,5,3.25
2008,113000,20.58823529,1896,106,5,4.5
2014,90000,23.37647059,1461,83.8,5,5.35
2017,29000,20.52941176,1493,100,7,6.5
2016,20000,28.58823529,1248,88.5,5,9
2016,61012,24.8,1197,81.83,5,6
2009,87459,19.6,1390,85,5,2.75
2010,70500,20.85333333,1193,64.1,5,1.5
2015,64103,18.50588235,1968,174.33,5,19.9
2014,76000,19.6,1798,177.5,5,10
2014,104000,27.75294118,1364,67.06,5,3
2010,42001,21.46666667,,,,2.11
2014,37245,19.73333333,1595,120.7,5,11.96
2013,45000,32.23529412,1498,98.6,5,3.25
2012,117837,26.25882353,1582,126.32,5,4.75
2014,30000,24.07058824,1461,83.8,5,5.95
2015,27057,20.38666667,1591,121.3,5,8.15
2016,8500,27.34666667,998,67,5,4.22
2010,30500,15.65333333,1796,186,5,10.5
2012,56000,13.88235294,2967,246.7,5,45
2012,44000,26.41333333,1086,68.05,5,2.9
2017,10500,19.06666667,1598,103.52,5,8.9
2017,26000,19.56,1798,177.46,5,26
2018,25166,22.92,1197,81.86,5,8.22
2014,64000,30.35294118,1498,98.6,5,3.5
2004,61000,25.2,998,67.1,5,1.25
2013,107000,24.74117647,1461,65,5,3.7
2018,29161,22.67058824,2143,167.62,5,39.41
2013,32000,30,998,67.04,5,2.65
2015,46173,22.36470588,1461,108.5,5,8.92
2013,47000,20.94117647,1248,,5,4.1
2017,26327,22.42666667,1998,189.08,4,35.67
2015,70436,,1498,99,,3.6
2007,200000,20.23529412,1396,53.5,5,0.85
2016,60813,24.8,1199,76.8,5,3.32
2012,45000,25.96470588,1199,73.9,5,3.6
2016,64000,26.94117647,1248,74,5,6.8
2012,41284,23.52941176,1399,68.05,5,2.5
2019,14165,13.36470588,2755,171.5,7,19.64
2011,67000,13.78823529,2199,194.3,7,7
2011,32572,23.2,1497,117.3,5,3.87
2018,14960,24.8,1197,81.83,5,6.27
2015,55980,22.67058824,2143,167.62,5,18.12
2013,74000,29.92941176,936,57.6,5,2.65
2015,56847,26.51764706,1396,88.73,5,7.2
2015,121374,15.28235294,2494,100.6,7,14.3
2013,52000,24.43529412,1248,88.76,7,6.9
2014,118000,15.05882353,2494,102,7,10.75
2007,72000,22.66666667,1086,,5,0.95
2016,33915,23.73333333,1497,117.3,5,8.09
2014,82002,20.05882353,1995,184,5,18.5
2017,33000,28.23529412,1120,70,5,4.75
2016,34000,33.04705882,1248,88.5,5,8.45
2012,55000,24.11764706,1598,103.6,5,3.5
2006,160538,15.41176471,1493,82,5,1.8
2014,60000,23.42352941,1498,103.6,5,3.7
2017,49575,24.93333333,1199,88.7,5,7.17
2010,83000,26.41333333,1086,68.05,5,1.75
2018,51346,19.27058824,1995,183,5,21.99
2017,43000,16.09411765,2393,147.8,7,18.65
2011,35000,26.26666667,796,35,5,1.85
2017,27872,27.2,1197,81.8,5,5.95
2014,16514,25.2,1197,82,5,3.75
2012,120000,26.94117647,1248,74,5,3.75
2008,143275,25.88235294,1582,126.2,5,2.6
2006,99000,,1086,,5,1.75
2010,52000,22.66666667,1197,80,5,2.8
2017,29819,13.61176471,2987,254.79,5,61.29
2014,57000,18.58823529,2148,170,5,18
2014,88500,27.29411765,1248,73.94,5,4.35
2016,28000,23.14117647,1582,126.2,5,13.75
2010,67000,25.33333333,998,66.1,5,2
2016,26000,23.10588235,1461,108.45,5,10
2010,120000,20.94117647,1248,76,5,1.65
2017,51982,19.47058824,2993,258,5,45.77
2010,36000,27.14666667,1197,78.9,5,3.25
2016,47000,15.05882353,2494,102,7,12.8
2002,60000,23.06666667,993,60,5,0.55
2018,31025,33.41176471,1248,74,5,7.15
2013,105000,14.17647059,2179,120,8,7
2017,121900,27,1248,74,5,3.75
2017,22695,25.17333333,999,123.24,5,8.5
2012,73000,27.52941176,1248,74,5,4.35
2016,32227,30.32,796,47.3,5,3.26
2011,55000,22.66666667,1497,118,5,4.21
2018,11287,14.2,2967,241.4,7,70.36
2009,48000,20,1896,105,5,2.95
2012,54308,22.8,1591,121.3,5,4.28
2009,78442,22.4,1497,118,5,3.57
2013,46000,25.76470588,1396,88.8,5,3.11
2014,45051,20,1396,98.6,5,5.96
2011,69000,24.16470588,1598,103.6,5,4.7
2014,49000,23.2,1497,117.3,5,6.9
2018,45000,27,1248,74,5,5.25
2015,64000,21.74117647,1995,177,5,28
2009,60000,25.2,1061,67,5,1.35
2015,62178,24.26666667,1199,88.7,5,4.85
2012,58006,17.64705882,1896,105,5,6.7
2010,74000,27.14666667,1197,78.9,5,3.1
2015,77771,22.67058824,2143,170,5,18.64
2012,45275,27.14666667,1197,78.9,5,2.8
2016,48000,16.09411765,2393,147.8,7,20.25
2015,31652,20.8,1968,174.33,5,26.78
2010,109000,15.28235294,2494,100.6,7,8.26
2015,31978,21.96,1198,73.9,5,3.89
2011,70000,27.89333333,998,67.1,5,2.1
2017,15000,24,1497,117.3,5,12.69
2013,59138,20,1405,70,5,2.58
2014,61726,20.8,1968,174.33,5,20.77
2015,48000,21.05882353,2143,136,5,20.26
2006,58000,,1086,,5,1.5
2011,60020,20.94117647,1248,,5,2.5
2014,77815,30.8,998,67.04,5,4.25
2017,29000,21.05882353,2143,201.15,5,57
2017,44000,14.94117647,2179,187.7,5,44
2011,108626,24.16470588,1598,103.6,5,3.65
2012,71791,18.66666667,796,35,5,2.05
2012,91931,24.66666667,1198,86.8,5,3.13
2000,158000,16.55294118,2956,83.1,7,1.5
2012,91183,21.17647059,1248,75,5,2.85
2012,65000,25.2,998,67.1,5,2.65
2015,88428,18.82352941,2179,140,7,10.6
2008,138000,20.11764706,1396,70,5,1.25
2018,18000,21.36,1373,93.7,7,8.25
2011,60000,15.6,2354,177.6,5,4.45
2012,48000,22.70588235,1248,73.9,5,3.7
2009,160000,20.94117647,1399,68,5,2.8
2008,40000,23.6,1497,78,5,1.8
2014,51495,20.8,1968,174.33,5,21.95
2011,30000,11.2,2993,313,4,49
2017,97430,17.35294118,2967,245,7,62.67
2008,42496,26.3,998,67.1,5,1.4
2012,83000,27.05882353,1396,90,5,5.5
2009,37000,22.6,1197,78.9,5,2.95
2016,28503,25.33333333,1199,88.7,5,6.86
2015,76496,29.64705882,1248,74,5,6.15
2011,79152,24.66666667,1197,82.85,5,3.3
2011,32000,21.96,1198,73.9,5,2.55
2009,35000,26.26666667,796,46.3,5,1.5
2004,105000,15.06666667,1794,125,5,2.5
2006,56000,26.26666667,796,46.3,5,1.4
2012,73000,24.84705882,1248,88.8,5,3.4
2012,38000,26.26666667,796,46.3,5,2.25
2013,775000,22.70588235,1968,141,5,7.5
2008,80000,15.06666667,1794,125,5,2.8
2016,24973,24.8,1197,81.83,5,7.66
2016,45000,28.58823529,1248,88.5,5,7.15
2010,87430,22.66666667,1497,118,5,3.5
2014,133944,21.17647059,1248,75,5,3.5
2013,57000,30.35294118,1498,98.6,5,3.45
2016,27904,28.13333333,814,55.2,5,3.55
2015,30717,25.6,1995,190,5,25.99
2012,80000,26.25882353,1582,126.32,5,5.25
2013,47304,24.72941176,1248,88.8,5,2.9
2005,100000,19.26666667,1984,227,5,2.05
2017,30000,32.09333333,998,67.1,5,3.75
2014,68000,26.70588235,1498,89.84,5,6.75
2011,21000,24,995,62,5,0.95
2017,21000,22.74117647,1999,177,5,52
2007,119000,17.46666667,1997,141.1,5,3.91
2019,13747,19.56,1798,177.46,5,27.3
2009,620000,27.14666667,1197,78.9,5,2.7
2013,70000,26.94117647,1248,74,5,3.5
2016,18000,24.66666667,1197,83.14,5,6.2
2011,83000,27.15294118,1461,63.1,5,2.75
2015,130000,27.52941176,1248,74,5,3.25
2012,63400,20.94117647,1399,67,5,3.25
2003,65000,23.06666667,993,60,5,0.65
2017,8350,18.4,1998,192,5,35
2014,45000,27.75294118,1364,67.05,5,3.25
2018,26200,32.93333333,796,47.3,5,2.9
2011,11000,25.2,796,47,5,2.9
2009,90000,12.94117647,2993,235,5,17.75
2015,74000,14.76,2496,179.5,5,8.25
2015,37081,25.2,1197,82,5,5.77
2017,39000,28.58823529,1248,88.5,5,9.49
2008,99000,14.2,2967,241.4,7,12.95
2015,38000,21.05882353,2143,136,5,20
2007,72000,21.46666667,796,37,4,1
2015,93000,24.05882353,1461,83.8,5,7.1
2017,5900,25.21176471,1364,87.2,5,16.5
2014,25000,18.58823529,2148,170,5,26
2010,68000,24.82352941,1248,73.9,5,3.2
2017,35676,21.33333333,1497,117.3,7,9.48
2015,74310,28.70588235,1120,71,5,4
2014,59364,16.71764706,2143,203,5,26.5
2014,41380,19.73333333,1595,120.7,5,11.77
2017,33900,17.64705882,2143,204,5,37
2016,28000,23.73333333,1497,117.3,5,8.75
2007,50958,22.66666667,1086,,5,1.95
2011,93982,22.66666667,1497,118,5,3.75
2010,95000,21.6,1599,103.2,5,2.5
2017,9000,18,1999,246.74,5,34.5
2015,52516,24,1198,86.7,5,4.65
2015,20000,25.14666667,1598,122,4,32
2017,56451,15.88235294,2987,282,5,62.81
2014,37000,28.13333333,814,55.2,5,3.25
2014,17400,27.34666667,998,67.04,5,3.1
2011,90207,24.82352941,1248,73.9,5,3.91
2011,89616,18.90588235,1995,181,5,11
2014,85000,15.87058824,2179,138.03,5,3.5
2014,79271,23.97647059,1968,143,5,16.5
2012,56000,14.94117647,2179,187.7,5,30
2010,85001,14.11764706,2987,224,7,28
2018,12000,15.88235294,2477,175.56,7,28
2010,125000,26.26666667,796,46.3,5,0.92
2013,53000,18.66666667,1061,64,5,2.75
2017,34990,14.94117647,2179,187.7,5,53.83
2011,49768,22.68,1591,121.3,5,4.95
2013,56000,19.68235294,2993,218,5,33.5
2013,75000,17.34117647,2993,270.9,5,27.95
2010,57000,18.26666667,1798,157.75,5,7.25
2017,37542,18.50588235,1968,174.33,5,25.71
2014,95649,14.94117647,2179,187.7,5,29.67
2013,35299,17.45882353,2143,170,5,19
2017,28464,18.11764706,2179,120,7,13.05
2015,41000,25.6,1995,190,5,25.5
2017,9000,20.53333333,1497,117.3,7,8.5
2010,92098,18.82352941,2400,215,5,7.25
2005,5834,17.6,1495,94,5,0.8
2017,40250,22.92,1197,81.86,5,6.9
2018,22397,15.33333333,2996,367,5,70.99
2015,20800,28.13333333,814,55.2,5,2.25
2018,40322,25.2,1197,81.86,5,5.5
2013,52576,17.33333333,1493,100,5,4.35
2010,55000,21.96,1198,73.9,5,2.25
2016,47000,20.34666667,1798,187.74,5,24.5
2010,42021,,1968,,5,5.45
2017,23163,20.38666667,1591,121.3,5,12.03
2011,50000,15.65333333,1796,186,5,8.5
2014,11900,22.42666667,1998,189.08,4,28.5
2006,108000,22.66666667,1086,,5,1.2
2013,37000,27.75294118,1364,67.04,5,5.75
2014,30000,25.86666667,1198,86.8,5,3.2
2018,12831,28.53333333,1197,83.1,5,9.89
2012,143017,23.52941176,1968,138.1,5,6.58
2018,13102,28.13333333,814,55.2,5,4.06
2019,24950,23.96470588,1461,108.45,5,13.37
2011,57832,19.05882353,2993,258,5,25.82
2016,34267,30.32,796,47.3,5,3.74
2015,33000,19.76470588,1984,150,5,22
2007,55100,25.2,998,67.1,5,1.45
2008,40000,23.6,1497,78,5,2
2017,31841,15.1,1196,73,5,4.7
2014,15000,18.26666667,1399,98.79,8,3.75
2016,82756,18.77647059,2523,62.1,7,7.7
2012,50243,,1086,,5,3.35
2014,20600,28.13333333,814,55.2,5,2.6
2017,29952,17.33333333,1591,121.3,5,13.77
2017,15000,21.45333333,1598,103.5,5,7.1
2008,61938,17.2,1799,130,5,2.65
2014,67000,26.23529412,1248,74,5,2.5
2013,61672,18.82352941,2179,140,7,7.53
2017,26185,24.8,1197,81.83,5,7.98
2014,38000,16.65882353,1968,174.3,5,39
2011,67000,24.66666667,1197,85.8,5,2.25
2010,66000,17.56,1999,114,5,3.85
2015,80883,15.05882353,2494,102,7,13.5
2016,80219,32.49411765,793,47,5,3.5
2018,12923,29.52941176,1248,88.5,5,8.92
2016,86642,17.84705882,1968,181,5,20.37
2016,19235,25.6,1995,190,5,36.5
2016,51002,13.32941176,4134,335.2,7,48.91
2016,6800,24.8,1197,81.83,5,7.2
2012,82749,22.36470588,1461,108.45,5,5.99
2016,51000,28.70588235,1120,71,5,5.25
2014,31465,26.70588235,1498,89.84,5,6.5
2013,76476,21.96,1198,73.9,5,4.4
2017,14000,28.23529412,1120,70,5,4.6
2013,47000,24.84705882,1248,88.8,5,2.95
2011,48466,22.66666667,1497,118,5,3.26
2008,46000,23.89333333,1086,62.1,5,2.22
2012,162663,15.28235294,2494,100,7,10.5
2017,25142,33.04705882,1248,88.5,5,8.26
2013,69000,14.76470588,2982,169,7,14.45
2009,80524,20.4,1596,,5,2.5
2018,26405,16.8,1950,191.34,5,51.43
2014,45000,18.58823529,2148,170,5,23
2012,64284,20.84705882,1968,108.49,5,5.5
2015,27000,25.2,1197,82,5,4.5
2018,3678,24.21333333,1196,86.8,5,6.8
2013,21000,22.4,1395,138.02,5,8.75
2015,67000,23.37647059,1461,83.8,5,7
2015,24000,18.44705882,1999,177,5,33.5
2011,75000,23.52941176,1399,68,5,2.25
2008,179000,15.05882353,2953,156,7,4.24
2017,47198,14.76470588,2982,168.5,7,28.42
2012,52000,25.96470588,1199,73.9,5,2.75
2011,91000,27.29411765,1248,73.94,5,3
2013,60000,27.15294118,1461,63.1,5,3.55
2013,37873,26.25882353,1582,126.32,5,4.8
2011,31000,14.4,2497,150,5,13.5
2017,129000,12.94117647,2987,258,7,56
2004,78000,16,2354,187.4,5,3.99
2016,32000,20.01176471,1582,126.2,5,15.5
2010,59000,26.41333333,1086,68.05,5,2.32
2016,35437,23.52941176,2143,136,5,18.58
2014,98000,21.36,1373,93.7,7,5.5
2006,72000,22,1896,66,5,3.2
2015,79000,24,1198,86.7,5,4
2004,29000,23.06666667,993,60,5,1.6
2013,66012,20.66666667,1586,103.3,5,4.15
2014,35000,22,1198,86.8,5,4.25
2011,75000,25.2,998,67.1,5,2.6
2008,80000,16.13333333,2362,164.7,5,3.43
2012,32717,24.8,1199,79.4,5,2.55
2017,25000,14.76470588,2982,168.5,7,32
2014,79000,26.70588235,1498,89.84,5,6.25
2010,86000,20.94117647,1248,75,5,3.6
2010,137000,15.88235294,2987,282,5,18.5
2015,25000,23.06666667,1497,117.3,7,4.25
2017,8500,25.2,1197,82,5,4.8
2015,34000,18.82352941,2179,140,7,13
2012,41629,19.77333333,1598,105,5,2.25
2009,80227,23.89333333,1086,62.1,5,2.3
2019,8587,20.38666667,1591,121.3,5,13.56
2017,30000,18.11764706,1997,120,7,12.25
2013,64186,24.11764706,1598,103.5,5,3.76
2015,76427,22.36470588,1461,108.45,5,8.58
2011,75000,13.76470588,2993,245,5,27.5
2013,27075,23.46666667,1496,88.73,5,4.95
2012,30000,30,998,67.04,5,3.3
2016,69434,21.06666667,1591,121.3,5,8
2014,56000,30.8,998,67.04,5,2.79
2017,49275,14.94117647,2179,187.7,5,45.64
2014,8700,24.8,1199,76.8,5,2.55
2014,18000,33.86666667,624,37.5,4,1
2017,41041,20.8,1968,174.33,5,37.56
2009,80464,12.94117647,2987,198.5,5,9.29
2019,20667,29.33333333,1197,81.8,5,6.37
2013,60283,19.46666667,1368,112,5,2.98
2017,31696,27.2,1197,81.8,5,5.75
2010,100000,13.52941176,2982,171,7,13
2014,13361,21.36,1373,93.7,7,6.8
2010,48394,16.06666667,1995,154,5,10.49
2014,47399,21.36,1373,93.7,7,5.6
2010,69000,22.4,1497,118,5,2.85
2013,65278,17.24705882,2199,194.3,7,8.36
2005,108000,20,1405,70,5,1
2010,50645,14.57333333,2497,204,5,10.75
2011,130002,22.70588235,1248,73.9,5,3.85
2012,107000,20.94117647,1399,67,5,3
2015,41950,24,1497,117.3,5,9.6
2012,109000,15.29411765,2982,168.5,7,13.25
2016,9000,24,1198,86.7,5,5.75
2014,43900,26.51764706,1396,88.73,5,6.75
2013,64000,21.41176471,1248,73.8,7,4.85
2019,13190,,1950,181.43,5,38.99
2009,77652,16.8,1586,103.2,5,2.85
2012,55000,15.28235294,2494,100,7,9.51
2012,59900,21.74117647,1995,177,5,18.5
2015,73539,22.36470588,1461,108.45,5,6.75
2017,31645,24.32941176,1995,190,5,29.4
2009,69690,23.6,1497,78,5,3.29
2016,41000,33.04705882,1248,88.5,5,9.5
2010,109200,23.33333333,1298,85.8,5,2.2
2012,80000,17.76470588,2179,140,7,6.5
2007,51000,18,1799,130,5,4.9
2013,105000,29.96470588,1248,88.5,7,6.75
2013,179000,27.75294118,1364,67.04,5,3.8
2013,12100,13.2,1984,207.8,2,29.5
2017,31000,24.85882353,1498,108.4,5,10.5
2015,50000,23.69411765,1498,88.8,5,6.2
2009,48000,20,1896,105,5,5
2007,35000,22.58823529,1461,65,5,2.3
2016,100200,13.36470588,2755,171.5,7,17
2014,47000,22.21176471,1995,184,5,25.5
2015,63642,32.11764706,1498,98.6,5,5.65
2015,62550,30.35294118,1498,98.6,5,5.6
2015,37340,19.24705882,2179,187.7,5,29.98
2016,38461,31.28235294,1248,74,5,7.39
2018,29000,20.11764706,1956,170,5,19
2010,31000,16.66666667,1794,132,5,5
2011,42086,22.66666667,1497,118,5,3.35
2013,49000,24.8,1197,85.8,5,4.45
2019,77240,26.25882353,1582,126.32,5,8.31
2012,105000,18.77647059,2523,62.1,7,6
2014,35000,26.94117647,1248,74,5,5.25
2006,83072,22.66666667,1086,,5,1.4
2012,202082,20.8,1968,174.33,5,12.3
2004,129000,18.4,1299,70,5,1.5
2018,33558,23.69411765,1498,88,5,8.12
2012,60271,16,2523,63,7,6.12
2017,45366,29.52941176,1498,98.6,5,10.88
2014,9500,24.26666667,1199,82.5,5,3.5
2016,42362,24.8,1197,81.83,5,6.15
2016,21000,20.05882353,1995,184,5,33
2012,15200,17.71764706,1995,177,5,13.5
2015,43690,14.76470588,2982,168.5,7,17.11
2014,79926,13.32941176,4134,335.2,7,29.77
2013,53073,24.43529412,1248,88.76,7,5.95
2015,59000,24.66666667,1197,80,5,5.75
2006,47088,13.50666667,3498,364.9,5,19
2014,55000,24.05882353,1461,83.8,5,4.75
2013,80430,20.24705882,1493,100,7,3.3
2013,71932,14.76470588,2982,168.5,7,16.5
2014,19000,18.78823529,2993,258,7,44
2011,81759,22.70588235,1248,73.9,5,4.39
2018,52010,29.64705882,1248,74,5,6.2
2016,58953,18.04,1984,177.01,5,24.22
2008,93000,12.35294118,2835,107.2,6,5.45
2016,10000,19.24705882,2179,187.7,5,44
2019,40674,13.36470588,2755,171.5,7,24.82
